actual_vo2kgml,speed_actual,grade,I.grade.2.,I.grade.3.,.fitted,.se.fit
28.04,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
28.08,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
27.49,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
32.6,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
26.18,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
38.44,2.05,40,1600,64000,49.20248087370356,0.458830615308951
54.28,2.05,40,1600,64000,49.20248087370356,0.458830615308951
26.83,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
29.3,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
43.35,2.05,40,1600,64000,49.20248087370356,0.458830615308951
34.29,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
52.17,2.05,40,1600,64000,49.20248087370356,0.458830615308951
27.73,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
44.84,2.05,40,1600,64000,49.20248087370356,0.458830615308951
31.02,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
31.16,1.11,40,1600,64000,28.14808948622118,0.2555820973783168
25.21,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
28.94,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
26.96,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
26.95,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
22.01,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
20.41,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
28.29,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
24.7,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
26.72,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
29.46,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
23.16,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
24.71,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
19.7,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
17.83,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
35.29,2.05,35,1225,42875,44.51146073512584,0.271859429762017
29.95,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
39.74,2.05,35,1225,42875,44.51146073512584,0.271859429762017
48.74,2.05,35,1225,42875,44.51146073512584,0.271859429762017
26.91,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
27.71,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
23.28,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
26.31,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
29.1,2.05,35,1225,42875,44.51146073512584,0.271859429762017
26.11,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
38.32,2.05,35,1225,42875,44.51146073512584,0.271859429762017
24.31,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
29.28,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
29.75,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
49.64,2.05,35,1225,42875,44.51146073512584,0.271859429762017
18.92,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
26.72,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
22.4,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
28.94,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
26.99,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
38.96,2.05,35,1225,42875,44.51146073512584,0.271859429762017
23.14,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
46.09,2.05,35,1225,42875,44.51146073512584,0.271859429762017
43.17,2.05,35,1225,42875,44.51146073512584,0.271859429762017
25.45,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
32.08,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
25.92,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
28.75,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
44.6,2.05,35,1225,42875,44.51146073512584,0.271859429762017
31.65,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
35.37,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
28.7,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
48.3,2.05,35,1225,42875,44.51146073512584,0.271859429762017
51.5,2.05,35,1225,42875,44.51146073512584,0.271859429762017
43.11,2.05,35,1225,42875,44.51146073512584,0.271859429762017
50.83,2.05,35,1225,42875,44.51146073512584,0.271859429762017
34.66,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
61.01,2.05,35,1225,42875,44.51146073512584,0.271859429762017
30.5,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
31.9,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
62.6,2.05,35,1225,42875,44.51146073512584,0.271859429762017
31.98,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
43.27,2.05,35,1225,42875,44.51146073512584,0.271859429762017
29.4,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
49.1,2.05,35,1225,42875,44.51146073512584,0.271859429762017
28.34,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
27.8,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
26.49,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
31.58,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
44.05,2.05,35,1225,42875,44.51146073512584,0.271859429762017
48.86,2.05,35,1225,42875,44.51146073512584,0.271859429762017
25.39,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
39.51,2.05,35,1225,42875,44.51146073512584,0.271859429762017
48.78,2.05,35,1225,42875,44.51146073512584,0.271859429762017
25.04,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
27.74,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
48.64,2.05,35,1225,42875,44.51146073512584,0.271859429762017
31.65,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
50.37,2.05,35,1225,42875,44.51146073512584,0.271859429762017
27.8,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
40.11,2.05,35,1225,42875,44.51146073512584,0.271859429762017
48.99,2.05,35,1225,42875,44.51146073512584,0.271859429762017
25.72,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
33.84,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
33.81,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
33.3,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
30.85,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
29.19,1.11,35,1225,42875,25.731238926613848,0.19845331061410762
23.36,1.11,30,900,27000,23.070272423060224,0.18021105956368844
28.4,1.11,30,900,27000,23.070272423060224,0.18021105956368844
24.21,1.11,30,900,27000,23.070272423060224,0.18021105956368844
23.82,1.11,30,900,27000,23.070272423060224,0.18021105956368844
38.64,2.05,30,900,27000,39.36959583520585,0.17494189152695638
20.43,1.11,30,900,27000,23.070272423060224,0.18021105956368844
22.72,1.11,30,900,27000,23.070272423060224,0.18021105956368844
39.06,2.05,30,900,27000,39.36959583520585,0.17494189152695638
25.14,1.11,30,900,27000,23.070272423060224,0.18021105956368844
